tconst	ordering	nconst	category	job	characters
tt0271946	3	nm0874676	actor	\N	"[""Many Liu""]"
tt0271946	4	nm0398852	actress	\N	"[""Yong""]"
tt0271946	5	nm0151125	director	\N	\N
tt0271946	6	nm0212933	writer	English adaptation	\N
tt0271946	7	nm0387306	writer	\N	\N
tt0271946	8	nm0159494	producer	producer	\N
tt0271946	9	nm0436348	composer	\N	\N
tt0288045	10	nm1365846	composer	\N	\N
tt0288045	1	nm0000329	actor	\N	"[""Eddie Yang""]"
tt0288045	2	nm0262968	actor	\N	"[""Arthur Watson""]"
tt0288045	3	nm0001231	actress	\N	"[""Nicole James""]"
tt0288045	4	nm0001696	actor	\N	"[""Snakehead""]"
tt0288045	5	nm0150906	director	\N	\N
tt0288045	6	nm0156434	writer	story and original characters	\N
tt0288045	7	nm1424658	writer	written by	\N
tt0288045	8	nm0923932	writer	written by	\N
tt0288045	9	nm0004214	writer	written by	\N
tt0290095	10	nm0775443	producer	producer	\N
tt0290095	1	nm0000329	actor	\N	"[""Jimmy Tong""]"
tt0290095	2	nm0001349	actress	\N	"[""Del Blaine""]"
tt0290095	3	nm0005042	actor	\N	"[""Clark Devlin""]"
tt0290095	4	nm0000529	actress	\N	"[""Steena""]"
tt0290095	5	nm1019493	director	\N	\N
tt0290095	6	nm0006534	writer	story	\N
tt0290095	7	nm0542062	writer	story	\N
tt0290095	8	nm5022110	writer	story	\N
tt0290095	9	nm0498775	writer	screenplay	\N
tt0293564	10	nm0322802	producer	producer	\N
tt0293564	1	nm0000329	actor	\N	"[""Lee""]"
tt0293564	2	nm0000676	actor	\N	"[""Carter""]"
tt0293564	3	nm0001884	actor	\N	"[""Reynard""]"
tt0293564	4	nm0760796	actor	\N	"[""Kenji""]"
tt0293564	5	nm0711840	director	\N	\N
tt0293564	6	nm0622288	writer	written by	\N
tt0293564	7	nm0482780	writer	characters	\N
tt0293564	8	nm0083696	producer	producer	\N
tt0293564	9	nm0002397	producer	producer	\N
tt0300471	10	nm0322802	producer	producer	\N
tt0300471	1	nm0000329	actor	\N	"[""Chon Wang""]"
tt0300471	2	nm0005562	actor	\N	"[""Roy O'Bannon""]"
tt0300471	3	nm0939056	actress	\N	"[""Chon Lin""]"
tt0300471	4	nm1093951	actor	\N	"[""Charlie""]"
tt0300471	5	nm0229694	director	\N	\N
tt0300471	6	nm0332184	writer	characters	\N
tt0300471	7	nm0587692	writer	characters	\N
tt0300471	8	nm0053388	producer	producer	\N
tt0300471	9	nm0083696	producer	producer	\N
tt0327437	10	nm0045927	producer	producer	\N
tt0327437	1	nm0000329	actor	\N	"[""Passepartout"",""Lau Xing""]"
tt0327437	2	nm0176869	actor	\N	"[""Phileas Fogg""]"
tt0327437	3	nm0000980	actor	\N	"[""Lord Kelvin""]"
tt0327437	4	nm0000870	actress	\N	"[""Queen Victoria""]"
tt0327437	5	nm0178997	director	\N	\N
tt0327437	6	nm0894523	writer	"novel ""Le Tour du monde en quatre-vingts jours"""	\N
tt0327437	7	nm0864435	writer	screenplay	\N
tt0327437	8	nm0073026	writer	screenplay	\N
tt0327437	9	nm1309286	writer	screenplay	\N
tt0365847	10	nm0876602	producer	producer	\N
tt0365847	1	nm0788405	actor	\N	"[""Nangong Yan""]"
tt0365847	2	nm0000329	actor	\N	"[""Meng Yi"",""Jack""]"
tt0365847	3	nm2274407	actor	\N	"[""General Shen""]"
tt0365847	4	nm2848532	actor	\N	"[""Official""]"
tt0365847	5	nm0867262	director	\N	\N
tt0365847	6	nm0910924	writer	screenplay	\N
tt0365847	7	nm1934885	writer	screenplay	\N
tt0365847	8	nm0151162	producer	executive producer	\N
tt0365847	9	nm0811607	producer	producer	\N
tt0374633	1	nm1409854	self	\N	"[""Himself""]"
tt0374633	2	nm0000329	actor	\N	\N
tt0374633	3	nm0005033	self	\N	"[""Himself""]"
tt0374633	4	nm1121703	actor	\N	"[""Film Reviewer""]"
tt0374633	5	nm0751481	director	\N	\N
tt0374633	6	nm0950707	actor	\N	\N
tt0386005	10	nm0906414	composer	\N	\N
tt0386005	1	nm0000329	actor	\N	"[""Senior Insp. Chan Kwok-Wing""]"
tt0386005	2	nm0874866	actor	\N	"[""Zheng Xiaofeng"",""Frank Cheng Siu-fung""]"
tt0386005	3	nm2378838	actor	\N	"[""Negotiator""]"
tt0386005	4	nm1936402	actor	\N	"[""Robber""]"
tt0386005	5	nm0150802	director	\N	\N
tt0386005	6	nm0950701	writer	screenplay	\N
tt0386005	7	nm0151162	producer	executive producer	\N
tt0386005	8	nm0811607	producer	producer	\N
tt0386005	9	nm0876602	producer	producer	\N
tt0438877	1	nm0000329	actor	\N	"[""Narrator""]"
tt0438877	2	nm1109494	director	\N	\N
tt0438877	3	nm0127478	producer	producer	\N
tt0438877	4	nm0588953	producer	producer	\N
tt0438877	5	nm1204634	producer	producer	\N
tt0438877	6	nm0006277	composer	\N	\N
tt0438877	7	nm0961453	editor	\N	\N
tt0485976	10	nm2497357	composer	\N	\N
tt0485976	1	nm0000329	actor	\N	"[""Thongs""]"
tt0485976	2	nm0401201	actor	\N	"[""Landlord""]"
tt0485976	3	nm0465503	actor	\N	"[""Octopus""]"
tt0485976	4	nm1218953	actress	\N	"[""Pak Yin""]"
tt0485976	5	nm0150802	director	\N	\N
tt0485976	6	nm0950701	writer	written by	\N
tt0485976	7	nm0151162	producer	executive producer	\N
tt0485976	8	nm0811607	producer	producer	\N
tt0485976	9	nm0911117	producer	producer	\N
tt0865556	10	nm0003703	editor	\N	\N
tt0865556	1	nm0000329	actor	\N	"[""Lu Yan"",""Old Hop""]"
tt0865556	2	nm0001472	actor	\N	"[""The Monkey King"",""The Silent Monk""]"
tt0865556	3	nm0029400	actor	\N	"[""Jason Tripitikas""]"
tt0865556	4	nm2973494	actress	\N	"[""Southie Girl""]"
tt0865556	5	nm0591450	director	\N	\N
tt0865556	6	nm0299301	writer	written by	\N
tt0865556	7	nm0798661	producer	producer	\N
tt0865556	8	nm1384267	composer	\N	\N
tt0865556	9	nm0666702	cinematographer	director of photography	\N
tt10044874	1	nm0000329	actor	\N	\N
tt10044874	2	nm0943104	actor	\N	\N
tt10044874	3	nm0497090	director	\N	\N
tt10044874	4	nm1217899	producer	producer	\N
tt1075419	10	nm0457491	cinematographer	\N	\N
tt1075419	1	nm0000329	actor	\N	"[""Steelhead""]"
tt1075419	2	nm0847562	actor	\N	"[""Inspector Kitano""]"
tt1075419	3	nm0943079	actor	\N	"[""Jie""]"
tt1075419	4	nm1292891	actress	\N	"[""Xiu Xiu"",""Yuko Eguchi""]"
tt1075419	5	nm0232504	director	\N	\N
tt1075419	6	nm0161159	writer	writer	\N
tt1075419	7	nm0151162	producer	producer	\N
tt1075419	8	nm0811607	producer	producer	\N
tt1075419	9	nm0436348	composer	\N	\N
tt1155076	10	nm0000226	producer	producer	\N
tt1155076	1	nm0000329	actor	\N	"[""Mr. Han""]"
tt1155076	2	nm1535523	actor	\N	"[""Dre Parker""]"
tt1155076	3	nm0378245	actress	\N	"[""Sherry Parker""]"
tt1155076	4	nm3924219	actress	\N	"[""Meiying""]"
tt1155076	5	nm0958969	director	\N	\N
tt1155076	6	nm0614050	writer	screenplay	\N
tt1155076	7	nm0436543	writer	story	\N
tt1155076	8	nm0489876	producer	producer	\N
tt1155076	9	nm0000586	producer	producer	\N
tt1273678	10	nm0628056	composer	\N	\N
tt1273678	1	nm0000329	actor	\N	"[""Bob Ho""]"
tt1273678	2	nm0005520	actress	\N	"[""Gillian""]"
tt1273678	3	nm0004854	actor	\N	"[""Colton James""]"
tt1273678	4	nm1630992	actress	\N	"[""Farren""]"
tt1273678	5	nm0505152	director	\N	\N
tt1273678	6	nm0077080	writer	screenplay	\N
tt1273678	7	nm0007079	writer	screenplay	\N
tt1273678	8	nm0201304	writer	screenplay	\N
tt1273678	9	nm0800465	producer	producer	\N
tt1302011	10	nm0167795	producer	producer	\N
tt1302011	1	nm0085312	actor	\N	"[""Po""]"
tt1302011	2	nm0001401	actress	\N	"[""Tigress""]"
tt1302011	3	nm0000329	actor	\N	"[""Monkey""]"
tt1302011	4	nm0000163	actor	\N	"[""Shifu""]"
tt1302011	5	nm0950775	director	\N	\N
tt1302011	6	nm0008743	writer	written by	\N
tt1302011	7	nm0074184	writer	written by	\N
tt1302011	8	nm0717550	writer	based on the characters created by	\N
tt1302011	9	nm0903456	writer	based on the characters created by	\N
tt1319718	1	nm0000329	actor	\N	"[""The Soldier""]"
tt1319718	2	nm0910966	actor	\N	"[""the General""]"
tt1319718	3	nm3398435	actor	\N	"[""Prince Wen""]"
tt1319718	4	nm3391237	actress	\N	"[""Songster""]"
tt1319718	5	nm0227625	director	\N	\N
tt1319718	6	nm0811607	producer	producer	\N
tt1319718	7	nm4933115	composer	\N	\N
tt1319718	8	nm1618536	cinematographer	director of photography	\N
tt1421749	1	nm0000329	actor	\N	\N
tt1421749	2	nm0001472	actor	\N	\N
tt1424310	10	nm0876602	producer	producer	\N
tt1424310	1	nm0000329	actor	\N	"[""Asian Hawk""]"
tt1424310	2	nm0795517	actress	\N	"[""David's Wife""]"
tt1424310	3	nm4080670	actress	\N	"[""Coco""]"
tt1424310	4	nm1085861	actor	\N	"[""Simon""]"
tt1424310	5	nm0150894	writer	\N	\N
tt1424310	6	nm0849282	writer	\N	\N
tt1424310	7	nm0867262	writer	\N	\N
tt1424310	8	nm1707265	producer	producer	\N
tt1424310	9	nm0719096	producer	producer	\N
tt1478291	10	nm3550491	producer	producer	\N
tt1478291	1	nm2591248	actor	\N	"[""Zhang Yi-shan""]"
tt1478291	2	nm0000329	actor	\N	"[""Jackie Chan""]"
tt1478291	3	nm3236074	actress	\N	\N
tt1478291	4	nm3138980	self	\N	"[""Herself""]"
tt1478291	5	nm1979442	director	\N	\N
tt1478291	6	nm1215055	director	\N	\N
tt1478291	7	nm3544392	writer	screenplay	\N
tt1478291	8	nm3550195	writer	screenplay	\N
tt1478291	9	nm1295684	producer	producer	\N
tt1615160	10	nm0525961	producer	producer	\N
tt1615160	1	nm1648520	actress	\N	"[""Fan""]"
tt1615160	2	nm0000329	actor	\N	"[""Quan Ngoc Minh""]"
tt1615160	3	nm1257480	actor	\N	"[""Ian Wood""]"
tt1615160	4	nm0849214	actor	\N	"[""Simpson""]"
tt1615160	5	nm0132709	director	\N	\N
tt1615160	6	nm0545861	writer	screenplay by	\N
tt1615160	7	nm0495319	writer	"based on the novel ""The Chinaman"" by"	\N
tt1615160	8	nm2222628	producer	producer	\N
tt1615160	9	nm0475423	producer	producer	\N
tt1720267	10	nm4061122	producer	producer	\N
tt1720267	1	nm0000329	actor	\N	"[""Xu Rongcun""]"
tt1720267	2	nm1868320	actress	\N	"[""Silk Boy""]"
tt1720267	3	nm0149942	actor	\N	"[""Grandfather""]"
tt1720267	4	nm0233036	actor	\N	"[""Ginsing King""]"
tt1720267	5	nm4060968	director	\N	\N
tt1720267	6	nm2318036	writer	\N	\N
tt1720267	7	nm0263727	writer	\N	\N
tt1720267	8	nm4062655	writer	story	\N
tt1720267	9	nm1070766	producer	producer	\N
tt1741202	1	nm0000329	actor	\N	\N
tt1741202	2	nm0618680	director	\N	\N
tt1741202	3	nm0138620	writer	screenplay	\N
tt1741202	4	nm1953304	writer	\N	\N
tt1741202	5	nm0514821	writer	screenplay	\N
tt1741202	6	nm1951118	writer	\N	\N
tt1741202	7	nm0225146	producer	producer	\N
tt1741202	8	nm3450764	producer	producer	\N
tt1741202	9	nm2028525	producer	producer	\N
tt1772230	10	nm2900221	producer	producer	\N
tt1772230	1	nm0000329	actor	\N	"[""Huang Xing""]"
tt1772230	2	nm0152061	actor	\N	"[""Sun Yat-sen""]"
tt1772230	3	nm0508356	actress	\N	"[""Xu Zonghan""]"
tt1772230	4	nm0161158	actor	\N	"[""Yuan Shikai""]"
tt1772230	5	nm0955377	director	\N	\N
tt1772230	6	nm2639120	writer	screenplay	\N
tt1772230	7	nm3616667	writer	screenplay	\N
tt1772230	8	nm5262456	producer	producer	\N
tt1772230	9	nm5262179	producer	producer	\N
tt2238032	10	nm1290580	producer	producer	\N
tt2238032	1	nm0000329	actor	\N	"[""Bennie Chan""]"
tt2238032	2	nm0424216	actor	\N	"[""Connor Watts""]"
tt2238032	3	nm1549063	actress	\N	"[""Samantha Bai""]"
tt2238032	4	nm0874676	actor	\N	"[""Yung""]"
tt2238032	5	nm0001317	director	\N	\N
tt2238032	6	nm1062565	writer	story	\N
tt2238032	7	nm2818863	writer	screenplay	\N
tt2238032	8	nm2366522	writer	creator	\N
tt2238032	9	nm5664649	producer	producer	\N
tt2324606	1	nm0000329	actor	\N	"[""Lee""]"
tt2324606	2	nm0000676	actor	\N	"[""James Carter""]"
tt2324606	3	nm0482780	writer	characters	\N
tt2324606	4	nm0765306	producer	producer	\N
tt2599716	10	nm7416348	writer	story planner	\N
tt2599716	1	nm0000329	actor	\N	"[""Zhong Wen""]"
tt2599716	2	nm1091782	actor	\N	"[""Wu Jiang""]"
tt2599716	3	nm1320897	actress	\N	"[""Miao Miao""]"
tt2599716	4	nm5088245	actress	\N	"[""Lan Lan""]"
tt2599716	5	nm0227625	director	\N	\N
tt2599716	6	nm5908926	writer	script planner	\N
tt2599716	7	nm5457848	writer	script planner	\N
tt2599716	8	nm6472391	writer	story planner	\N
tt2599716	9	nm6283683	writer	story planner	\N
tt2935034	1	nm0000329	actor	\N	"[""Mr. Z""]"
tt2935034	2	nm5323700	actress	\N	"[""European Woman""]"
tt2935034	3	nm3653250	actor	\N	"[""Rob""]"
tt2935034	4	nm4366662	director	\N	\N
tt2990144	1	nm0000329	actor	\N	\N
tt2990144	2	nm6590527	self	\N	"[""Himself""]"
tt2990144	3	nm10575242	actress	\N	"[""Smoking Dragon""]"
tt2992152	10	nm4377915	production_designer	\N	\N
tt2992152	1	nm3419887	actress	\N	\N
tt2992152	2	nm6051128	actor	\N	"[""Fake Nazi #1""]"
tt2992152	3	nm3447142	actor	\N	\N
tt2992152	4	nm0000329	actor	\N	\N
tt2992152	5	nm0271815	director	\N	\N
tt2992152	6	nm0911032	writer	\N	\N
tt2992152	7	nm1010222	producer	producer	\N
tt2992152	8	nm4376119	composer	\N	\N
tt2992152	9	nm2283697	cinematographer	\N	\N
tt3014284	10	nm2972864	writer	screenplay by	\N
tt3014284	1	nm0000329	actor	\N	"[""Master Wu"",""Mr. Liu""]"
tt3014284	2	nm2002649	actor	\N	"[""Lloyd""]"
tt3014284	3	nm0035488	actor	\N	"[""Cole""]"
tt3014284	4	nm3529685	actor	\N	"[""Jay""]"
tt3014284	5	nm0063769	director	\N	\N
tt3014284	6	nm0279729	director	\N	\N
tt3014284	7	nm0517517	director	\N	\N
tt3014284	8	nm0923980	writer	screenplay by	\N
tt3014284	9	nm1117226	writer	screenplay by	\N
tt3672840	1	nm0000329	actor	\N	"[""Huo An""]"
tt3672840	2	nm0000131	actor	\N	"[""Lucius""]"
tt3672840	3	nm0004778	actor	\N	"[""Tiberius""]"
tt3672840	4	nm2184859	actor	\N	"[""Yin Po""]"
tt3672840	5	nm0496752	director	\N	\N
tt3672840	6	nm1682154	producer	producer	\N
tt3672840	7	nm0481691	composer	\N	\N
tt3672840	8	nm0156583	cinematographer	\N	\N
tt3672840	9	nm0159087	production_designer	\N	\N
tt4217392	10	nm0910996	composer	\N	\N
tt4217392	1	nm0000329	actor	\N	"[""Jack""]"
tt4217392	2	nm7344694	actor	\N	"[""Xiaoguang""]"
tt4217392	3	nm7094216	actress	\N	"[""Nuomin""]"
tt4217392	4	nm7796669	actress	\N	"[""Ashmita""]"
tt4217392	5	nm0867262	director	\N	\N
tt4217392	6	nm5260718	producer	producer	\N
tt4217392	7	nm8732473	producer	producer	\N
tt4217392	8	nm0876602	producer	producer	\N
tt4217392	9	nm0917671	producer	producer	\N
tt4685784	1	nm0000329	actor	\N	"[""Chon Wang""]"
tt4685784	2	nm0005562	actor	\N	"[""Roy O'Bannon""]"
tt4685784	3	nm0381478	director	\N	\N
tt4685784	4	nm2296454	writer	screenplay	\N
tt4685784	5	nm0332184	writer	characters	\N
tt4685784	6	nm0587692	writer	characters	\N
tt4685784	7	nm5045313	writer	written by	\N
tt4685784	8	nm8417795	writer	screenplay	\N
tt4687848	10	nm7443261	producer	producer	\N
tt4687848	1	nm0000329	actor	\N	"[""Ma Yuan""]"
tt4687848	2	nm1548493	actor	\N	"[""Rui Ge""]"
tt4687848	3	nm7301909	actor	\N	"[""Dahai""]"
tt4687848	4	nm3073218	actor	\N	"[""Fan Chuan""]"
tt4687848	5	nm0227625	director	\N	\N
tt4687848	6	nm2091311	writer	script advisor	\N
tt4687848	7	nm8691513	writer	\N	\N
tt4687848	8	nm7443264	producer	producer	\N
tt4687848	9	nm1284187	producer	executive producer	\N
tt5449328	10	nm0086840	actress	\N	"[""Wing Wu""]"
tt5449328	1	nm0000329	actor	\N	"[""Master Monkey""]"
tt5449328	2	nm0519680	actor	\N	"[""Po""]"
tt5449328	3	nm0851317	actor	\N	"[""Master Shifu"",""Baboon Boss"",""Yak Goon #2""]"
tt5449328	4	nm1683236	actress	\N	"[""Master Tigress"",""Wu Goon #2""]"
tt5449328	5	nm0120180	actor	\N	"[""Rat Boss"",""Rabbit #3"",""Rhino #1""]"
tt5449328	6	nm0935042	actor	\N	"[""Gorilla Minion #1"",""Yak Goon #1""]"
tt5449328	7	nm0636046	actor	\N	"[""Baboon Goon #1"",""Gorilla Goon #1""]"
tt5449328	8	nm0829181	actress	\N	"[""Wan Wu"",""Rabbit #2"",""Wu Minion #2""]"
tt5449328	9	nm0201373	actress	\N	"[""Su Wu"",""Wu Minion #1""]"
tt5813366	10	nm4318551	composer	\N	\N
tt5813366	1	nm0000329	actor	\N	"[""Lin Dong""]"
tt5813366	2	nm3881333	actor	\N	"[""Leeson""]"
tt5813366	3	nm7134395	actress	\N	"[""Nancy""]"
tt5813366	4	nm9276991	actress	\N	"[""Susan""]"
tt5813366	5	nm1937443	director	\N	\N
tt5813366	6	nm3968338	writer	screenplay by	\N
tt5813366	7	nm0192984	producer	producer	\N
tt5813366	8	nm1698429	producer	producer	\N
tt5813366	9	nm9249407	producer	producer	\N
tt6176078	10	nm9204085	writer	based on: LEGO Construction Toys	\N
tt6176078	1	nm0857620	actor	\N	"[""Narrator""]"
tt6176078	2	nm3434305	actress	\N	"[""Chicken""]"
tt6176078	3	nm0000329	actor	\N	"[""Sensei Wu""]"
tt6176078	4	nm8620722	director	\N	\N
tt6176078	5	nm8588931	writer	screenplay by	\N
tt6176078	6	nm0949124	writer	story by	\N
tt6176078	7	nm7705410	writer	story by	\N
tt6176078	8	nm9204083	writer	based on: LEGO Construction Toys	\N
tt6176078	9	nm9204084	writer	based on: LEGO Construction Toys	\N
tt6218010	10	nm6179961	composer	\N	\N
tt6218010	1	nm0002076	actor	\N	"[""Jonathan Green""]"
tt6218010	2	nm4080670	actress	\N	"[""Chen""]"
tt6218010	3	nm1651354	actress	\N	"[""Miss Dudley""]"
tt6218010	4	nm0000329	actor	\N	"[""Master""]"
tt6218010	5	nm1897071	director	\N	\N
tt6218010	6	nm1923871	writer	\N	\N
tt6218010	7	nm3703488	producer	producer	\N
tt6218010	8	nm6085160	producer	producer	\N
tt6218010	9	nm0783652	producer	producer	\N
tt6238896	10	nm4111443	editor	\N	\N
tt6238896	1	nm0000602	actor	\N	"[""Narrator""]"
tt6238896	2	nm0000329	actor	\N	"[""Narrator""]"
tt6238896	3	nm0197773	director	\N	\N
tt6238896	4	nm2887720	director	\N	\N
tt6238896	5	nm0916424	director	\N	\N
tt6238896	6	nm0101639	writer	narration written by	\N
tt6238896	7	nm0945802	writer	narration written by	\N
tt6238896	8	nm2829518	producer	producer	\N
tt6238896	9	nm0373588	composer	\N	\N
tt6419292	1	nm0000329	actor	\N	"[""Zell""]"
tt6419292	2	nm1999991	writer	writer	\N
tt6419292	3	nm1974626	writer	writer	\N
tt6419292	4	nm1882491	producer	producer	\N
tt6419292	5	nm3893921	producer	producer	\N
tt6419292	6	nm0907742	producer	producer	\N
tt6879446	10	nm8732475	producer	producer	\N
tt6879446	1	nm0000329	actor	\N	"[""Luo Feng""]"
tt6879446	2	nm1078479	actor	\N	"[""Chris Van Horne""]"
tt6879446	3	nm1561982	actor	\N	"[""Owen Paddock""]"
tt6879446	4	nm5962871	actor	\N	"[""Henry Van Horne""]"
tt6879446	5	nm0915304	director	\N	\N
tt6879446	6	nm3885069	writer	\N	\N
tt6879446	7	nm0134396	producer	producer	\N
tt6879446	8	nm5260718	producer	producer	\N
tt6879446	9	nm0719096	producer	producer	\N
tt7587984	10	nm0158883	cinematographer	\N	\N
tt7587984	1	nm0000329	actor	\N	"[""Pu Songling""]"
tt7587984	2	nm8694048	actress	\N	"[""Nie Xiaoqian""]"
tt7587984	3	nm2432722	actor	\N	"[""Ning Cai Cheng""]"
tt7587984	4	nm3391237	actress	\N	\N
tt7587984	5	nm5253967	director	\N	\N
tt7587984	6	nm9390775	writer	\N	\N
tt7587984	7	nm1615913	producer	producer	\N
tt7587984	8	nm9156873	composer	\N	\N
tt7587984	9	nm7870268	composer	\N	\N
tt7645502	10	nm1622192	producer	producer	\N
tt7645502	1	nm0000329	actor	\N	"[""Namiya""]"
tt7645502	2	nm8151982	actress	\N	\N
tt7645502	3	nm7622097	actress	\N	"[""Tong Tong""]"
tt7645502	4	nm6039993	actor	\N	\N
tt7645502	5	nm2199286	director	\N	\N
tt7645502	6	nm0383258	writer	novel 'Miracles of the Namiya General Store'	\N
tt7645502	7	nm9595587	writer	\N	\N
tt7645502	8	nm9595586	writer	\N	\N
tt7645502	9	nm9595585	writer	\N	\N
tt8026848	1	nm0000329	actor	\N	"[""Kung Fu instructor""]"
tt8026848	2	nm1019493	director	\N	\N
tt8026848	3	nm8706022	writer	\N	\N
tt8026848	4	nm9639530	producer	producer	\N
tt8026848	5	nm8706023	composer	\N	\N
tt8026848	6	nm3318496	cinematographer	\N	\N
tt8026848	7	nm9029253	editor	\N	\N
tt8026848	8	nm5439765	production_designer	\N	\N
tt8312212	1	nm0000329	actor	\N	"[""Master Wu""]"
tt8312212	2	nm2002649	actor	\N	"[""Lloyd""]"
tt8312212	3	nm3529685	actor	\N	"[""Jay""]"
tt8312212	4	nm0857620	actor	\N	"[""Lord Garmadon""]"
tt8312212	5	nm1189025	director	\N	\N
tt8312212	6	nm2046855	actor	\N	"[""Zane""]"
tt8702944	1	nm0000329	actor	\N	\N
tt8702944	2	nm0874866	actor	\N	\N
tt8702944	3	nm0874676	actor	\N	\N
tt8702944	4	nm1250939	actor	\N	\N
tt8702944	5	nm1548493	director	\N	\N
tt8702944	6	nm1937443	writer	\N	\N
tt8702944	7	nm3419723	actress	\N	\N
tt9695722	10	nm6661769	actor	\N	"[""Kalasu""]"
tt9695722	1	nm0000329	actor	\N	"[""Tang Huating""]"
tt9695722	2	nm3138511	actor	\N	"[""Lei Zhenyu""]"
tt9695722	3	nm7094216	actress	\N	"[""Mi Ya""]"
tt9695722	4	nm8054476	actor	\N	"[""Zhang Kaixuan""]"
tt9695722	5	nm0867262	director	\N	\N
tt9695722	6	nm8575929	writer	english dialogue	\N
tt9695722	7	nm10483676	actor	\N	"[""Shendiao""]"
tt9695722	8	nm5647594	actor	\N	"[""Omar""]"
tt9695722	9	nm0046223	actor	\N	"[""Abati""]"
tt9719082	1	nm0004943	actor	\N	\N
tt9719082	2	nm1683787	actress	\N	\N
tt9719082	3	nm0000329	actor	\N	\N
tt9719082	4	nm0994538	director	\N	\N
tt9719082	5	nm1144952	composer	\N	\N
tt9719082	6	nm1390445	composer	\N	\N
